onset	duration	nwb_table	maze_id	turn_type	update_type	choice	correct	iterations	i_delay	i_update	i_delay2	i_choice_made	t_delay	t_update	t_delay2	t_choice_made	delay_location	update_location	delay2_location	behavior_task	recording_number	mid_time	start_ind	stop_ind	mid_ind	energy	peak	max_thresh	baseline	threshold	std	min_duration	excluded
0.0	610.0055	recording_epochs																		0.0	2												
4.9115	7.3565000000000005	thetas																				8.4265	9823.0	24536.0	16853.0	72662.72822600417	2.3938916038955504	2.2740877875625256	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
22.859	5.741999999999997	thetas																				25.6355	45718.0	57202.0	51271.0	57803.09785725404	2.3905983019462695	2.036085917686794	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
33.1465	12.363999999999997	thetas																				39.24	66293.0	91021.0	78480.0	120534.06909354508	2.3905879414092337	2.2846053266906297	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
48.1265	3.581000000000003	thetas																				49.963	96253.0	103415.0	99926.0	37506.94139971561	2.460518896905787	2.1483873610169812	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
60.447	12.049999999999997	thetas																				67.286	120894.0	144994.0	134572.0	171633.14558090456	3.3170769622522056	4.866779823662114	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
75.669	9.710999999999999	thetas																				80.446	151338.0	170760.0	160892.0	101721.54795742352	2.428951853298388	2.492299719485836	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
95.8595	3.109000000000009	thetas																				97.471	191719.0	197937.0	194942.0	32291.79694363072	2.426580637756723	2.018046998981828	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
110.3525	17.299999999999997	thetas																				119.2425	220705.0	255305.0	238485.0	178521.7858077093	2.716282684103089	3.14362340869673	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
141.6905	12.668500000000023	thetas																				147.716	283381.0	308718.0	295432.0	124110.00922408735	2.416973330799184	2.2344923592569863	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
160.957	5.1895000000000095	thetas																				163.7125	321914.0	332293.0	327425.0	60103.12930570434	2.6558366080150493	2.8758537079798216	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
169.249	5.565500000000014	thetas																				172.057	338498.0	349629.0	344114.0	55454.67911220208	2.4126897608533406	2.2116069770063973	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
183.152	3.1555000000000177	thetas																				184.733	366304.0	372615.0	369466.0	32479.698665924574	2.3862555886525914	2.055451057945249	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
192.4575	4.477499999999992	thetas																				194.828	384915.0	393870.0	389656.0	48596.61880022859	2.5627189474231913	2.4414750760297035	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
202.4495	3.3985000000000127	thetas																				204.1295	404899.0	411696.0	408259.0	36891.567901373164	2.486823907433659	2.2799273449303206	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
276.0835	4.548000000000002	thetas																				278.367	552167.0	561263.0	556734.0	44587.29480627367	2.2790867038404037	2.1141359007915046	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
314.219	3.540999999999997	thetas																				315.9525	628438.0	635520.0	631905.0	38703.344695530126	2.523707185231835	2.3060568150779606	1.5730794921273232	2.2176248684326656	0.3222726881526712	2.0	2.0
323.1615	0.04800000000000182	ripples																				323.1825	646323.0	646419.0	646365.0	177864.34563545635	54.54831282195285	3.6061848974023576	17.467655701915238	44.86546219204768	9.13260216337748	0.02	0.02
