session_id	original_session_id
ses-S25+210906	ses-S25_210906
ses-S25+210907	ses-S25_210907
ses-S25+210908	ses-S25_210908
ses-S25+210909	ses-S25_210909
ses-S25+210910	ses-S25_210910
ses-S25+210912	ses-S25_210912
ses-S25+210913	ses-S25_210913
ses-S25+210914	ses-S25_210914
ses-S25+210915	ses-S25_210915
ses-S25+210916	ses-S25_210916
